,BTCUSDT,BTCUSDT,BTCUSDT,BTCUSDT,ETHUSDT,ETHUSDT,ETHUSDT,ETHUSDT,BNBUSDT,BNBUSDT,BNBUSDT,BNBUSDT,BUSDUSDT,BUSDUSDT,BUSDUSDT,BUSDUSDT,XRPUSDT,XRPUSDT,XRPUSDT,XRPUSDT,DOGEUSDT,DOGEUSDT,DOGEUSDT,DOGEUSDT,ADAUSDT,ADAUSDT,ADAUSDT,ADAUSDT,MATICUSDT,MATICUSDT,MATICUSDT,MATICUSDT,DOTUSDT,DOTUSDT,DOTUSDT,DOTUSDT,LTCUSDT,LTCUSDT,LTCUSDT,LTCUSDT
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close
Open Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-18 18:00:00,11983.22,12087.0,11942.8,11945.01,423.15,429.28,421.52,421.95,23.2355,23.2727,22.9541,22.9705,0.9995,0.9998,0.9992,0.9993,0.30463,0.30869,0.30181,0.30251,0.0035154,0.003574,0.0034737,0.003476,0.13677,0.13854,0.13629,0.13691,0.0273,0.02761,0.02661,0.02674,2.09,4.44,2.0,3.1,66.49,67.59,65.15,65.4
2020-08-19 00:00:00,11945.1,12020.08,11650.0,11711.35,421.92,426.75,406.18,408.5,22.9802,23.25,22.1274,22.2944,0.9993,0.9998,0.9992,0.9997,0.3025,0.30616,0.28592,0.28941,0.0034795,0.0035374,0.0033437,0.0033966,0.13686,0.13832,0.12779,0.1309,0.0268,0.02737,0.02511,0.02559,3.1,3.14,2.64,2.9255,65.42,67.15,61.13,62.08
2020-08-19 06:00:00,11711.35,11865.0,11612.71,11842.48,408.5,416.23,402.0,413.02,22.3013,22.7835,21.9622,22.5953,0.9998,1.0002,0.9995,0.9996,0.28941,0.29544,0.2849,0.29327,0.0033915,0.0034703,0.0033599,0.0034279,0.1309,0.13409,0.12907,0.13258,0.02559,0.02647,0.02496,0.0262,2.9255,3.1999,2.9,3.0,62.07,63.98,61.31,63.1
2020-08-19 12:00:00,11842.15,11914.67,11651.42,11779.34,412.98,415.34,400.82,408.21,22.5976,22.8277,22.1659,22.5096,0.9996,0.9999,0.9992,0.9998,0.29331,0.297,0.28584,0.29148,0.0034263,0.00346,0.00335,0.0033996,0.13256,0.13539,0.12897,0.13133,0.0262,0.02701,0.02532,0.02558,3.0,3.0298,2.9,2.982,63.1,63.83,59.33,61.17
2020-08-19 18:00:00,11779.34,11780.22,11561.0,11754.59,408.21,408.93,393.25,407.46,22.5096,22.5247,21.8219,22.3761,0.9999,1.0002,0.9994,0.9998,0.29149,0.29241,0.27809,0.28975,0.0033996,0.0034648,0.0033341,0.0034196,0.13134,0.13138,0.1258,0.12966,0.02553,0.02562,0.0237,0.02479,2.983,3.035,2.72,2.95,61.16,62.45,58.73,62.12
2020-08-20 00:00:00,11754.38,11825.78,11679.01,11695.96,407.46,415.27,402.71,404.21,22.3817,22.6128,22.1017,22.1571,0.9998,1.0,0.9996,0.9999,0.28969,0.29269,0.28626,0.28632,0.0034197,0.0034527,0.0033711,0.0034154,0.12964,0.13182,0.12685,0.12697,0.02482,0.02566,0.02462,0.02537,2.9449,2.999,2.6759,2.7344,62.08,63.45,61.76,61.8
2020-08-20 06:00:00,11695.95,11817.13,11668.0,11817.13,404.21,411.89,402.07,411.45,22.1568,22.4588,22.0265,22.4391,1.0,1.0001,0.9997,0.9998,0.28632,0.29146,0.28431,0.29138,0.003412,0.0034571,0.0033952,0.0034551,0.12694,0.13032,0.12605,0.13032,0.02537,0.02689,0.02522,0.02609,2.7345,2.915,2.6833,2.8715,61.8,63.09,61.0,62.48
2020-08-20 12:00:00,11817.14,11888.0,11738.81,11816.49,411.47,417.99,408.41,413.71,22.4396,23.3,22.39,23.0101,0.9997,1.0,0.999,0.9991,0.29142,0.29465,0.2897,0.29029,0.0034538,0.0035043,0.0034202,0.0034661,0.13032,0.13292,0.12992,0.13097,0.02609,0.02667,0.02571,0.02619,2.8715,3.1111,2.8,3.0286,62.5,63.68,62.17,62.35
